,2BM,2BMP,2BR,F1,F2,F3,F4,F5,F6
0,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,1
2,1,0,0,0,0,0,0,1,0
3,1,0,0,0,0,0,0,1,1
4,1,0,0,0,0,0,1,0,0
5,1,0,0,0,0,0,1,0,1
6,1,0,0,0,0,0,1,1,0
7,1,0,0,0,0,0,1,1,1
8,1,0,0,0,0,1,0,0,0
9,1,0,0,0,0,1,0,0,1
10,1,0,0,0,0,1,0,1,0
11,1,0,0,0,0,1,0,1,1
12,1,0,0,0,0,1,1,0,0
13,1,0,0,0,0,1,1,0,1
14,1,0,0,0,0,1,1,1,0
15,1,0,0,0,0,1,1,1,1
16,1,0,0,0,1,0,0,0,0
17,1,0,0,0,1,0,0,0,1
18,1,0,0,0,1,0,0,1,0
19,1,0,0,0,1,0,0,1,1
20,1,0,0,0,1,0,1,0,0
21,1,0,0,0,1,0,1,0,1
22,1,0,0,0,1,0,1,1,0
23,1,0,0,0,1,0,1,1,1
24,1,0,0,0,1,1,0,0,0
25,1,0,0,0,1,1,0,0,1
26,1,0,0,0,1,1,0,1,0
27,1,0,0,0,1,1,0,1,1
28,1,0,0,0,1,1,1,0,0
29,1,0,0,0,1,1,1,0,1
30,1,0,0,0,1,1,1,1,0
31,1,0,0,0,1,1,1,1,1
32,1,0,0,1,0,0,0,0,0
33,1,0,0,1,0,0,0,0,1
34,1,0,0,1,0,0,0,1,0
35,1,0,0,1,0,0,0,1,1
36,1,0,0,1,0,0,1,0,0
37,1,0,0,1,0,0,1,0,1
38,1,0,0,1,0,0,1,1,0
39,1,0,0,1,0,0,1,1,1
40,1,0,0,1,0,1,0,0,0
41,1,0,0,1,0,1,0,0,1
42,1,0,0,1,0,1,0,1,0
43,1,0,0,1,0,1,0,1,1
44,1,0,0,1,0,1,1,0,0
45,1,0,0,1,0,1,1,0,1
46,1,0,0,1,0,1,1,1,0
47,1,0,0,1,0,1,1,1,1
48,1,0,0,1,1,0,0,0,0
49,1,0,0,1,1,0,0,0,1
50,1,0,0,1,1,0,0,1,0
51,1,0,0,1,1,0,0,1,1
52,1,0,0,1,1,0,1,0,0
53,1,0,0,1,1,0,1,0,1
54,1,0,0,1,1,0,1,1,0
55,1,0,0,1,1,0,1,1,1
56,1,0,0,1,1,1,0,0,0
57,1,0,0,1,1,1,0,0,1
58,1,0,0,1,1,1,0,1,0
59,1,0,0,1,1,1,0,1,1
60,1,0,0,1,1,1,1,0,0
61,1,0,0,1,1,1,1,0,1
62,1,0,0,1,1,1,1,1,0
63,1,0,0,1,1,1,1,1,1
64,0,1,0,0,0,0,0,0,0
65,0,1,0,0,0,0,0,0,1
66,0,1,0,0,0,0,0,1,0
67,0,1,0,0,0,0,0,1,1
68,0,1,0,0,0,0,1,0,0
69,0,1,0,0,0,0,1,0,1
70,0,1,0,0,0,0,1,1,0
71,0,1,0,0,0,0,1,1,1
72,0,1,0,0,0,1,0,0,0
73,0,1,0,0,0,1,0,0,1
74,0,1,0,0,0,1,0,1,0
75,0,1,0,0,0,1,0,1,1
76,0,1,0,0,0,1,1,0,0
77,0,1,0,0,0,1,1,0,1
78,0,1,0,0,0,1,1,1,0
79,0,1,0,0,0,1,1,1,1
80,0,1,0,0,1,0,0,0,0
81,0,1,0,0,1,0,0,0,1
82,0,1,0,0,1,0,0,1,0
83,0,1,0,0,1,0,0,1,1
84,0,1,0,0,1,0,1,0,0
85,0,1,0,0,1,0,1,0,1
86,0,1,0,0,1,0,1,1,0
87,0,1,0,0,1,0,1,1,1
88,0,1,0,0,1,1,0,0,0
89,0,1,0,0,1,1,0,0,1
90,0,1,0,0,1,1,0,1,0
91,0,1,0,0,1,1,0,1,1
92,0,1,0,0,1,1,1,0,0
93,0,1,0,0,1,1,1,0,1
94,0,1,0,0,1,1,1,1,0
95,0,1,0,0,1,1,1,1,1
96,0,1,0,1,0,0,0,0,0
97,0,1,0,1,0,0,0,0,1
98,0,1,0,1,0,0,0,1,0
99,0,1,0,1,0,0,0,1,1
100,0,1,0,1,0,0,1,0,0
101,0,1,0,1,0,0,1,0,1
102,0,1,0,1,0,0,1,1,0
103,0,1,0,1,0,0,1,1,1
104,0,1,0,1,0,1,0,0,0
105,0,1,0,1,0,1,0,0,1
106,0,1,0,1,0,1,0,1,0
107,0,1,0,1,0,1,0,1,1
108,0,1,0,1,0,1,1,0,0
109,0,1,0,1,0,1,1,0,1
110,0,1,0,1,0,1,1,1,0
111,0,1,0,1,0,1,1,1,1
112,0,1,0,1,1,0,0,0,0
113,0,1,0,1,1,0,0,0,1
114,0,1,0,1,1,0,0,1,0
115,0,1,0,1,1,0,0,1,1
116,0,1,0,1,1,0,1,0,0
117,0,1,0,1,1,0,1,0,1
118,0,1,0,1,1,0,1,1,0
119,0,1,0,1,1,0,1,1,1
120,0,1,0,1,1,1,0,0,0
121,0,1,0,1,1,1,0,0,1
122,0,1,0,1,1,1,0,1,0
123,0,1,0,1,1,1,0,1,1
124,0,1,0,1,1,1,1,0,0
125,0,1,0,1,1,1,1,0,1
126,0,1,0,1,1,1,1,1,0
127,0,1,0,1,1,1,1,1,1
128,0,0,1,0,0,0,0,0,0
129,0,0,1,0,0,0,0,0,1
130,0,0,1,0,0,0,0,1,0
131,0,0,1,0,0,0,0,1,1
132,0,0,1,0,0,0,1,0,0
133,0,0,1,0,0,0,1,0,1
134,0,0,1,0,0,0,1,1,0
135,0,0,1,0,0,0,1,1,1
136,0,0,1,0,0,1,0,0,0
137,0,0,1,0,0,1,0,0,1
138,0,0,1,0,0,1,0,1,0
139,0,0,1,0,0,1,0,1,1
140,0,0,1,0,0,1,1,0,0
141,0,0,1,0,0,1,1,0,1
142,0,0,1,0,0,1,1,1,0
143,0,0,1,0,0,1,1,1,1
144,0,0,1,0,1,0,0,0,0
145,0,0,1,0,1,0,0,0,1
146,0,0,1,0,1,0,0,1,0
147,0,0,1,0,1,0,0,1,1
148,0,0,1,0,1,0,1,0,0
149,0,0,1,0,1,0,1,0,1
150,0,0,1,0,1,0,1,1,0
151,0,0,1,0,1,0,1,1,1
152,0,0,1,0,1,1,0,0,0
153,0,0,1,0,1,1,0,0,1
154,0,0,1,0,1,1,0,1,0
155,0,0,1,0,1,1,0,1,1
156,0,0,1,0,1,1,1,0,0
157,0,0,1,0,1,1,1,0,1
158,0,0,1,0,1,1,1,1,0
159,0,0,1,0,1,1,1,1,1
160,0,0,1,1,0,0,0,0,0
161,0,0,1,1,0,0,0,0,1
162,0,0,1,1,0,0,0,1,0
163,0,0,1,1,0,0,0,1,1
164,0,0,1,1,0,0,1,0,0
165,0,0,1,1,0,0,1,0,1
166,0,0,1,1,0,0,1,1,0
167,0,0,1,1,0,0,1,1,1
168,0,0,1,1,0,1,0,0,0
169,0,0,1,1,0,1,0,0,1
170,0,0,1,1,0,1,0,1,0
171,0,0,1,1,0,1,0,1,1
172,0,0,1,1,0,1,1,0,0
173,0,0,1,1,0,1,1,0,1
174,0,0,1,1,0,1,1,1,0
175,0,0,1,1,0,1,1,1,1
176,0,0,1,1,1,0,0,0,0
177,0,0,1,1,1,0,0,0,1
178,0,0,1,1,1,0,0,1,0
179,0,0,1,1,1,0,0,1,1
180,0,0,1,1,1,0,1,0,0
181,0,0,1,1,1,0,1,0,1
182,0,0,1,1,1,0,1,1,0
183,0,0,1,1,1,0,1,1,1
184,0,0,1,1,1,1,0,0,0
185,0,0,1,1,1,1,0,0,1
186,0,0,1,1,1,1,0,1,0
187,0,0,1,1,1,1,0,1,1
188,0,0,1,1,1,1,1,0,0
189,0,0,1,1,1,1,1,0,1
190,0,0,1,1,1,1,1,1,0
191,0,0,1,1,1,1,1,1,1
192,0,0,0,0,0,0,0,0,0
